Country,Health posts,Health centers,Rural/District hospitals,Provincial hospitals,Specialized Hospitals,Hospitals,Year,Total_hf_densities,Region,GDP,Population,Health Expenditure,GDP Per Capita,Population Density
Afghanistan,2.95,1.22,0.18,0.1,0.09,0.37,2013,4.909999999999999,Asia,20564485419.1684,31541209.0,1810901279.4503,651.9878619481074,48.31236252795392
Afghanistan,2.87,1.19,0.18,0.1,0.08,2.2354014598540144,2010,6.655401459854014,Asia,15633843661.8051,28189672.0,1339769064.9642649,554.5947346178806,43.1787396991698
Albania,13.08,7.032648401826484,0.72,0.35,0.28,1.36,2013,22.822648401826484,Europe,12776224537.2743,2895092.0,801368767.2440993,4413.063397389202,100.69885217391304
Albania,12.95,7.032648401826484,0.72,0.34,0.28,2.2354014598540144,2010,23.558049861680495,Europe,11926926654.0521,2913021.0,744120423.1980743,4094.34969883571,101.3224695652174
Angola,22.12099099099099,7.032648401826484,1.1882377049180328,0.0,0.0,2.2354014598540144,2010,32.57727855758952,Africa,81699526880.8079,23364185.0,2201883613.996593,3496.784796080321,18.74082377476538
Antigua and Barbuda,22.12099099099099,7.032648401826484,1.1882377049180328,0.8068924302788845,1.11,1.11,2013,33.36876952801439,North America,1181448148.14815,88497.0,65087069.312556766,13350.149136672992,201.12954545454545
Antigua and Barbuda,22.12099099099099,7.032648401826484,1.1882377049180328,0.8068924302788845,222.07,2.2354014598540144,2010,255.4541709878684,North America,1148700000.0,85695.0,61789380.30636,13404.516016103624,194.76136363636363
Armenia,8.0,0.54,1.81,1.58,0.64,4.03,2013,16.6,Asia,11121464429.703,2901385.0,1148118829.677492,3833.15707143416,97.55833893745798
Armenia,8.0,0.54,1.81,1.58,0.64,4.03,2013,16.6,Asia,11121464429.703,2901385.0,1148118829.677492,3833.15707143416,97.55833893745798
Armenia,7.7,0.52,1.75,1.52,0.61,2.2354014598540144,2010,14.335401459854014,Asia,9260285762.09704,2946293.0,855222859.8022162,3143.029482165229,99.06835911230664
Armenia,7.7,0.52,1.75,1.52,0.61,2.2354014598540144,2010,14.335401459854014,Asia,9260285762.09704,2946293.0,855222859.8022162,3143.029482165229,99.06835911230664
Azerbaijan,22.12099099099099,7.44,5.31,2.12,0.53,7.97,2013,45.49099099099099,Asia,74160553008.7311,9416801.0,2252050673.9681034,7875.3446110554,108.7390415704388
Azerbaijan,22.12099099099099,7.44,5.31,2.12,0.53,7.97,2013,45.49099099099099,Asia,74160553008.7311,9416801.0,2252050673.9681034,7875.3446110554,108.7390415704388
Azerbaijan,22.12099099099099,7.62,5.44,2.18,0.54,2.2354014598540144,2010,40.136392450845,Asia,52909294791.9262,9054332.0,1317423657.504983,5843.533768358196,104.55348729792148
